Name,URL,Useful resources for cataloguing
ANT. Edizioni critiche del corpus dei testi poetici e musicali dell'Ars Nova,https://arsnova-ant.mirabileweb.it/home,
Bellini Digital Correspondence - Edizione digitale delle lettere di Voncenzo Bellini,https://bellinicorrespondence.cnr.it/,https://digitale-edition.de/e786 https://doi.org/10.6092/issn.2532-8816/9162
Commedia 2nd ed.,https://dantecommedia.it/,https://digitale-edition.de/e157 http://hdl.handle.net/21.11115/0000-000B-D148-8
Dante Online,https://danteonline.it/opere/index.php,https://dig-ed-cat.acdh.oeaw.ac.at/entry-042.html
Dante: Monarchia,https://www.danteonline.it/monarchia/,https://digitale-edition.de/e159
Decameron Web,https://www.brown.edu/Departments/Italian_Studies/dweb/,http://hdl.handle.net/21.11115/0000-000B-D0F1-9%20https://doi.org/10.18716/ride.a.14.4 http://hdl.handle.net/21.11115/0000-000B-D0F1-9https://digitale-edition.de/e60 https://ride.i-d-e.de/issues/issue-14/decameron/
DiBa - Digital Bandello,https://arianna4.it/progetto-digital-bandello/,
Edizione digitale del Canzoniere di Umberto Saba,https://lets.trieste.it/museo-saba/canzoniere/,https://iris.unito.it/handle/2318/2028747
Edizione digitale dell'Epistolario di Alcide De Gasperi,https://www.epistolariodegasperi.it/#/,https://digitale-edition.de/e166
Edizione Nazionale dell’Opera Omnia di Luigi Pirandello,https://www.pirandellonazionale.it/,https://www.iris.unict.it/handle/20.500.11769/641578
Francesco Guicciardini: Storia d'Italia,https://guicciardini-storia-italia.huma-num.fr/,https://digitale-edition.de/e275
Giacomo Leopardi's Zibaldone di pensieri a digital research platform,https://digitalzibaldone.net/,
Giambattista Vico: Orationes. Digital ed. of the ms. XIII B 55 of the National Library of Naples,https://eng-bup.unibas.it/library/DH,https://digitale-edition.de/e728
Giovanni Battista Ramusio: Dei viaggi di Messer Marco Polo,http://edizionicafoscari.unive.it/it/edizioni/libri/978-88-6969-00-06/giovanni-battista-ramusio/,https://digitale-edition.de/e524
I Capricci di un Re DIGITAL,https://www.operestefanopulvirenti.it/evt_ICDR1/,https://www.iris.unict.it/handle/20.500.11769/602349
I Promessi Sposi (PhiloEditor),https://projects.dharc.unibo.it/philoeditor/,
Il quaderno di Paolo Bufalini ,https://projects.dharc.unibo.it/bufalini-notebook/,https://digitale-edition.de/e84
Le avventure di Pinocchio (PhiloEditor),https://projects.dharc.unibo.it/philoeditor/,
"Petrarchive
An edition of Petrarch’s songbook
Rerum vulgarium fragmenta",https://dcl.luddy.indiana.edu/petrarchive/,https://digitale-edition.de/e504 https://scholarworks.iu.edu/dspace/handle/2022/17188
"Petrus de Prece, Adhortatio",https://eng-bup.unibas.it/library/DH,https://digitale-edition.de/e730
"Vespasiano da Bisticci, Lettere - A semantic digital edition",https://projects.dharc.unibo.it/vespasiano/,https://digitale-edition.de/e671 http://hdl.handle.net/21.11115/0000-000B-D17B-F
Wiki Leopardi,https://wikileopardi.altervista.org/wiki_leopardi/index.php?title=Wiki_Leopardi,https://digitale-edition.de/e770
