Name,URL,Useful resources for cataloguing
CRMTex,https://cidoc-crm.org/crmtex/fm_releases,
EpiONT,http://epicum.istc.cnr.it/lontologia-epiont/,
"GENO, the Genetic Networks Ontology",https://gen-o.github.io/,
Heritage Risk Assessment Ontology (HeRO),https://w3id.org/sirius/ontology/hero/,
ICON Ontology,https://br0ast.github.io/ICON/ICONOntologyDocumentationcurrent/index-en.html,
Ontologia ARIADNE,https://zenodo.org/records/7818375,
Ontologia Bigrafo,https://digilet.unisi.it/s/fortini/page/progetto,
OntoVE,https://zenodo.org/records/14551338,https://iris.unive.it/handle/10278/5035167
SPAR ontologies,https://sparontologies.github.io/article/spar-iswc2018/,
The Medieval Manuscript Ontology (MeMO),https://w3id.org/irnerio/ontology/memo,https://orkg.org/paper/R716398
The OntoLex Lemon Lexicography Module,https://www.w3.org/2019/09/lexicog/,
