Name,URL,Useful resources for cataloguing
Cadmus,https://myrmex.github.io/overview/cadmus/,
CETEIcean,https://github.com/TEIC/CETEIcean,
CLEF,https://polifonia-project.github.io/clef/,
CollateX,https://collatex.net/,
eScriptorium,https://escriptorium.openiti.org/,
Euporia,https://github.com/CoPhi/euporia,
eXistdb/TEIPublisher,https://teipublisher.com/exist/apps/tei-publisher-home/index.html,
Geca 3.0,https://geca.imati.cnr.it/make_home_page.php?status=start3,https://publications.cnr.it/doc/484071
LEAF-Writer,https://leaf-writer.leaf-vre.org/,
Lexicad ,http://www.ovi.cnr.it/ECOSISTEMA-LEXICAD.html,https://edizionicafoscari.unive.it/media/pdf/article/quaderni-veneti/2024/1/art-10.30687-QV-1724-188X-2024-01-008.pdf
LIWC,https://www.liwc.app/,
LODE,https://essepuntato.it/lode/,
MELODY,https://projects.dharc.unibo.it/melody/,https://polifonia-project.github.io/dashboard/; https://dl.acm.org/doi/10.1145/3603163.3609035
Mirador,https://projectmirador.org/,
Muruca,https://www.muruca.org/,
Omeka S,https://omeka.org/s/,
OpenSeadragon,https://openseadragon.github.io/,
OpenStreetMap,https://www.openstreetmap.org/#map=6/42.09/12.56,
Oxygen XML Editor,https://www.oxygenxml.com/,
Story Map Building And Visualising Tool (SMBVT),https://dlnarratives.eu/tool.html,
Transkribus,https://transkribus.eu/Transkribus/,
Tree Tagger,https://www.cis.uni-muenchen.de/~schmid/tools/TreeTagger/,
VisColl (Collation Visualization),https://viscoll.org/,
WebVOWL,https://developers.italia.it/it/software/github.com/teamdigitale/dati-semantic-webvowl.html,
