Name,URL,Useful resources for cataloguing
Codice diplomatico della Lombardia medievale,https://www.lombardiabeniculturali.it/cdlm/,https://digitale-edition.de/e132 http://hdl.handle.net/21.11115/0000-000B-D0D3-B
Corago Repertorio e archivio di libretti del melodramma italiano dal 1600 al 1900,https://corago.unibo.it/,
"Corpus de ""La Repubblica""",https://bellatrix.sslmit.unibo.it/noske/public/#open,https://ride.i-d-e.de/issues/issue-6/la-repubblica-corpus/
Corpus PAROLE,https://www.cnr.it/it/banche-dati-istituti/banca-dati/441/corpus-parole-sottoinsieme,http://hdl.handle.net/20.500.11752/ILC-1010
Corpus Rhythmorum Musicum,https://www.corimu.unisi.it/public/frontend/index,https://digitale-edition.de/e148 http://hdl.handle.net/21.11115/0000-000B-D0A5-F
Epigraphs of Castello Ursino Museum (EPICUM),http://epicum.istc.cnr.it/elenco/,
I testimoni della Vita Nova,http://vitanova.unipv.it/,https://dig-ed-cat.acdh.oeaw.ac.at/entry-128.html
Il Progetto AtLiTeG - Atlante della lingua e dei testi della cultura gastronomica italiana dall’età medievale all’Unitàa,https://corpus.atliteg.org/elenco-opere,
ItalArt - L'italiano delle arti tra Medioevo e Rinascimento,http://italart.ovi.cnr.it/,
Italian Drama Corpus,https://dracor.org/ita,
Monasterium,https://www.monasterium.net/mom/home,
Parlamint - ITA,https://www.clarin.eu/parlamint,http://hdl.handle.net/11356/1912
Re.Novella,https://renovella.unisi.it/,
RIALFrI - Repertorio Informatizzato Antica Letteratura Franco-Italiana,https://www.rialfri.eu/autori,
Scholastic Commentaries and Texts Archive,https://scta.lombardpress.org/,
Thesaurus musicarum italicarum (TMI),https://tmiweb.science.uu.nl/,https://digitale-edition.de/e643
